week_id,week_label,rule_name,rule_run_id,agent_id,agent_name,coverage_state,issue_code,assignment_goal,assignments_made,eligible_conversations,matching_conversations,unassigned_conversations,context_note
23,"Mar 2-8",,,181,"Agent 181",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,182,"Agent 182",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,183,"Agent 183",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,184,"Agent 184",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,185,"Agent 185",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,186,"Agent 186",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,187,"Agent 187",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,188,"Agent 188",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,189,"Agent 189",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8",,,190,"Agent 190",at_risk,AGENT_NOT_IN_ANY_RULE,2,0,0,0,0,"Agent is outside all active rule coverage for this upcoming week."
23,"Mar 2-8","Billing QA",199,1,"Agent 001",covered,,2,2,4,1,0,
23,"Mar 2-8","Billing QA",199,2,"Agent 002",covered,,2,2,5,2,0,
23,"Mar 2-8","Billing QA",199,3,"Agent 003",covered,,2,2,6,3,0,
23,"Mar 2-8","Billing QA",199,4,"Agent 004",covered,,2,2,7,4,0,
23,"Mar 2-8","Billing QA",199,5,"Agent 005",covered,,2,2,2,1,0,
23,"Mar 2-8","Billing QA",199,6,"Agent 006",covered,,2,2,3,2,0,
23,"Mar 2-8","Billing QA",199,7,"Agent 007",at_risk,ALL_EVALUATORS_AT_CAPACITY,2,0,4,3,2,"Eligible conversations could not be assigned due to evaluator workload limits."
23,"Mar 2-8","Billing QA",199,8,"Agent 008",covered,,2,2,5,4,0,
23,"Mar 2-8","Billing QA",199,9,"Agent 009",covered,,2,2,6,1,0,
23,"Mar 2-8","Billing QA",199,10,"Agent 010",covered,,2,2,7,2,0,
23,"Mar 2-8","Billing QA",199,11,"Agent 011",covered,,2,2,2,3,0,
23,"Mar 2-8","Billing QA",199,12,"Agent 012",covered,,2,2,3,4,0,
23,"Mar 2-8","Billing QA",199,13,"Agent 013",covered,,2,2,4,1,0,
23,"Mar 2-8","Billing QA",199,14,"Agent 014",covered,,2,2,5,2,0,
23,"Mar 2-8","Billing QA",199,15,"Agent 015",covered,,2,2,6,3,0,
23,"Mar 2-8","Billing QA",199,16,"Agent 016",covered,,2,2,7,4,0,
23,"Mar 2-8","Billing QA",199,17,"Agent 017",covered,,2,2,2,1,0,
23,"Mar 2-8","Billing QA",199,18,"Agent 018",at_risk,NO_MATCHING_CONVERSATIONS,2,0,3,0,0,"Conversations existed but did not match rule filters."
23,"Mar 2-8","Billing QA",199,19,"Agent 019",covered,,2,2,4,3,0,
23,"Mar 2-8","Billing QA",199,20,"Agent 020",covered,,2,2,5,4,0,
23,"Mar 2-8","Billing QA",199,21,"Agent 021",covered,,2,2,6,1,0,
23,"Mar 2-8","Billing QA",199,22,"Agent 022",covered,,2,2,7,2,0,
23,"Mar 2-8","Billing QA",199,23,"Agent 023",covered,,2,2,2,3,0,
23,"Mar 2-8","Billing QA",199,24,"Agent 024",covered,,2,2,3,4,0,
23,"Mar 2-8","Billing QA",199,25,"Agent 025",covered,,2,2,4,1,0,
23,"Mar 2-8","Billing QA",199,26,"Agent 026",covered,,2,2,5,2,0,
23,"Mar 2-8","Billing QA",199,27,"Agent 027",covered,,2,2,6,3,0,
23,"Mar 2-8","Billing QA",199,28,"Agent 028",covered,,2,2,7,4,0,
